provider,model_id,variation,unit,price_usd,effective_from,effective_to,last_validated_at,source_kind,confidence,aliases,source_url,notes
ai21,jamba-large,input,usd_per_mtok,2,2025-07-03,,2026-06-17,provider_live,verified,,https://www.ai21.com/pricing/,jamba-large-1.7-2025-07.
ai21,jamba-large,output,usd_per_mtok,8,2025-07-03,,2026-06-17,provider_live,verified,,https://www.ai21.com/pricing/,
ai21,jamba-mini,input,usd_per_mtok,0.2,2026-01-01,,2026-06-17,provider_live,inferred,,https://www.ai21.com/pricing/,"jamba-mini-2-2026-01; price verified, exact release day not first-party-stated (Jan 2026)."
ai21,jamba-mini,output,usd_per_mtok,0.4,2026-01-01,,2026-06-17,provider_live,inferred,,https://www.ai21.com/pricing/,
alibaba,qwen-flash,input,usd_per_mtok,0.05,2025-07-28,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,qwen-flash-2025-07-28.
alibaba,qwen-flash,output,usd_per_mtok,0.4,2025-07-28,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,
alibaba,qwen-max,input,usd_per_mtok,1.6,2025-01-25,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,qwen-max-2025-01-25.
alibaba,qwen-max,output,usd_per_mtok,6.4,2025-01-25,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,
alibaba,qwen-plus,input,usd_per_mtok,0.4,2025-12-01,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,qwen-plus-2025-12-01. Output is the non-thinking rate; thinking output is $4.
alibaba,qwen-plus,output,usd_per_mtok,1.2,2025-12-01,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,
alibaba,qwen-turbo,input,usd_per_mtok,0.05,2025-04-28,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,qwen-turbo-2025-04-28. Non-thinking output; deprecated (Alibaba recommends qwen-flash).
alibaba,qwen-turbo,output,usd_per_mtok,0.2,2025-04-28,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,
alibaba,qwen3-coder-plus,input,usd_per_mtok,1,2025-07-22,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,qwen3-coder-plus. Base input tier (<=32K).
alibaba,qwen3-coder-plus,output,usd_per_mtok,5,2025-07-22,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,
alibaba,qwen3-max,input,usd_per_mtok,1.2,2026-01-23,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,"qwen3-max-2026-01-23. International (Singapore), base input tier (<=32K)."
alibaba,qwen3-max,output,usd_per_mtok,6,2026-01-23,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,
